institution_name,account_id,product_family,holding_name,holding_key,unit_price,quantity,gross_amount,quantity_reported,gross_amount_reported,currency,valued_at,data_quality_flags
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro IPCA+ 2035,Tesouro IPCA+ 2035,1242.5407,228.23,283585.07,154.0,191351.41,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,funds,SELECAO DIVIDENDOS FIC FIA,07059417000107,50.7669,5499.057798,279170.34,5547.841584,281669.91,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,B3SA3,B3SA3,54.9057,4861.0,266896.4,3824.0,209957.99,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro IPCA+ 2029,Tesouro IPCA+ 2029,1006.65,255.07,256766.22,220.23,221694.49,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple, financial_transaction_tax:placeholder]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2023-09-14|2026-09-01,996.98,253.143818,252379.32,190.067,189493.0,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,variable_incomes,BBDC4,BBDC4,32.72,7640.0,249980.8,6783.0,221964.18,BRL,2026-08-21 10:22:43,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2024-03-07|2027-03-01,994.07,249.369,247890.24,249.369,247890.24,BRL,2026-08-21 10:18:47,[movements:incomplete]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2020-07-11|2023-07-01,1007.45,245.713,247543.56,245.713,247543.56,BRL,2026-08-21 10:22:43,"[holding:matured, movements:incomplete]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2025-02-27|2028-02-01,1008.14,243.149,245128.23,243.149,245128.23,BRL,2026-08-21 10:22:43,[financial_transaction_tax:placeholder]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2022-09-13|2025-09-01,1008.01,240.738,242666.31,240.738,242666.31,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2025-06-25|2028-06-01,1008.45,238.477831,240492.97,194.625,196269.58,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro Prefixado 2027,Tesouro Prefixado 2027,495.5577,464.08,229978.4,464.08,229979.28,BRL,2026-08-21 10:18:47,[investment_id:multiple]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-06-03|2023-06-01,1005.39,228.094,229323.43,228.094,229323.43,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2021-10-18|2024-10-01,995.77,225.425,224471.45,225.425,224471.45,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2024-08-10|2027-08-01,1006.23,221.21,222588.14,221.21,222588.14,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2019-11-10|2022-11-01,999.38,222.687,222548.93,222.687,222548.93,BRL,2026-08-21 10:18:47,"[holding:matured, movements:incomplete]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2021-03-04|2024-03-01,998.45,222.887,222541.53,222.887,222541.53,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,funds,ALASKA BLACK FIC FIA - BDR NIVEL I,11052478000102,2.5247,87265.936206,220318.95,56902.0,54369.96,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, lot:zero_kept, investment_id:multiple, gross:not_quantity_times_price, net:above_gross]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2025-05-17|2028-05-01,1008.34,208.678,210418.37,208.678,210418.37,BRL,2026-08-21 10:22:43,[]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,treasure_titles,Tesouro IPCA+ 2035,Tesouro IPCA+ 2035,1235.86,170.15,210281.58,90.99,112451.13,BRL,2026-08-21 10:22:43,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-11-27|2025-11-01,999.61,207.302618,207221.77,157.697,157635.5,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2022-11-05|2025-11-01,1006.03,203.143,204367.95,203.143,204367.95,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro Selic 2031,Tesouro Selic 2031,1752.36,115.52,202432.63,115.52,202432.92,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2025-12-22|2028-12-01,994.95,202.028,201007.76,202.028,201007.76,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-05-17|2025-05-01,991.11,202.045,200248.82,202.045,200248.82,BRL,2026-08-21 10:18:47,"[holding:matured, movements:incomplete]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2022-07-12|2025-07-01,999.95,198.582,198572.07,198.582,198572.07,BRL,2026-08-21 09:08:04,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,NULL,2d0a16fe-869c-518b-97ca-7659f3176c21,63.46,3120.0,197995.2,3120.0,198010.8,BRL,2026-08-21 10:18:47,"[isin_code:missing, ticker:missing, natural_key:missing]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2022-07-22|2025-07-01,990.93,194.452737,192689.05,239.146,236976.95,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2019-11-10|2022-11-01,1000.13,190.917,190941.82,190.917,190941.82,BRL,2026-08-21 10:22:43,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2022-06-10|2025-06-01,1000.84,190.74876,190908.99,220.988,221173.63,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-08-03|2023-08-01,1008.04,188.252,189765.55,188.252,189765.55,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-02-12|2023-02-01,1000.73,189.039,189177.0,189.039,189177.0,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2025-12-19|2028-12-01,1000.32,182.159,182217.29,182.159,182217.29,BRL,2026-08-21 10:18:47,[]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,funds,IPCA LONGA DURACAO FIC FIRF,29562673000117,14.49,12489.862069,180978.1,12489.862069,180990.72,BRL,2026-08-21 09:08:04,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2025-07-30|2028-07-01,994.81,179.4,178468.91,179.4,178468.91,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-11-11|2027-11-01,1003.1,175.417,175960.79,175.417,175960.79,BRL,2026-08-21 10:18:47,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2024-05-16|2027-05-01,999.72,171.802465,171754.36,119.154,119120.64,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,credit_fixed_incomes,OMEGA ENERGIA S.A.,BRCRASEC00A0|09149503000106|2026-06-15,1002.24,170.931315,171314.2,159.394,159751.68,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-08-05|2025-08-01,1003.26,169.677,170230.15,169.677,170230.15,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,funds,KAPITALO KAPPA FIC FIM,18318213000154,26.1738,6352.437126,166267.25,6351.660377,166218.9,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-12-02|2026-12-01,1003.55,164.957,165542.6,164.957,165542.6,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-05-11|2023-05-01,1009.95,162.52,164137.07,9900.0,164137.07,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale, gross:not_quantity_times_price]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2021-11-03|2024-11-01,996.64,164.122672,163571.22,172.816,0.0,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, gross:not_quantity_times_price, net:above_gross]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2020-11-10|2023-11-01,998.61,162.65,162423.92,162.65,162423.92,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2022-06-28|2025-06-01,997.21,160.094608,159647.94,196.848,196298.79,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2020-08-20|2023-08-01,991.27,158.69,157304.64,158.69,157304.64,BRL,2026-08-21 10:18:47,[holding:matured]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2025-06-26|2028-06-01,1007.09,147.152,148195.31,147.152,148195.31,BRL,2026-08-21 10:22:43,[purchase_date:missing]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2026-04-25|2029-04-01,1004.57,142.770719,143423.18,150.396,151083.31,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro IPCA+ com Juros Semestrais 2032,Tesouro IPCA+ com Juros Semestrais 2032,1517.8192,93.08,141278.61,116.04,176127.95,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2024-04-24|2027-04-01,1008.54,138.898,140084.19,138.898,140084.19,BRL,2026-08-21 10:18:47,[purchase_date:missing]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-02-13|2025-02-01,993.61,134.768,133906.83,134.768,133906.83,BRL,2026-08-21 10:18:47,"[holding:matured, movements:incomplete]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2024-12-18|2027-12-01,997.3,133.274,132914.16,133.274,132914.16,BRL,2026-08-21 10:18:47,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,treasure_titles,Tesouro Prefixado 2029,Tesouro Prefixado 2029,746.9075,177.49,132568.61,484.03,361524.2,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2023-08-25|2026-08-01,1003.15,130.896506,131308.83,171.114,171653.01,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2021-04-29|2024-04-01,1008.37,128.043932,129115.66,186.039,187596.15,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2025-12-26|2028-12-01,1005.55,126.79,127493.68,126.79,127493.68,BRL,2026-08-21 09:08:04,[indexer:missing]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2025-05-15|2028-05-01,995.08,127.880064,127250.89,178.607,177728.25,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,RDB,BRBANKRDB5A5|92894922000108|2024-02-29|2027-02-01,1003.12,126.716004,127111.36,234.962,235695.08,BRL,2026-08-21 10:22:43,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2026-05-10|2029-05-01,1007.38,123.797841,124711.47,187.684,189069.11,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2024-08-07|2027-08-01,991.72,124.463463,123432.91,9900.0,201010.74,BRL,2026-08-21 10:22:43,"[quantity_reported:stale, gross:not_quantity_times_price]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-02-03|2025-02-01,1004.39,121.320569,121853.17,175.71,176481.37,BRL,2026-08-21 09:08:04,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2020-04-14|2023-04-01,1005.34,119.941,120581.48,119.941,120581.48,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2019-12-11|2022-12-01,999.22,120.128424,120034.72,110.978,110891.44,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2024-01-05|2027-01-01,996.79,119.684935,119300.75,125.613,125209.78,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2022-08-02|2025-08-01,996.6,117.012436,116614.59,213.572,212845.86,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale, indexer:missing]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2022-11-14|2025-11-01,1007.77,112.307009,113179.63,208.83,210452.61,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2023-09-25|2026-09-01,1009.76,112.014984,113108.25,216.896,219012.9,BRL,2026-08-21 09:08:04,"[quantity_reported:stale, financial_transaction_tax:placeholder, purchase_date:missing]"
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2023-08-13|2026-08-01,1001.61,110.842,111020.46,110.842,111020.46,BRL,2026-08-21 09:08:04,"[holding:matured, movements:incomplete]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2023-03-19|2026-03-01,997.68,109.578,109323.78,109.578,109323.78,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2023-09-28|2026-09-01,1000.88,104.134,104225.64,104.134,104225.64,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2025-05-05|2028-05-01,1007.76,103.098431,103898.47,173.858,175207.14,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2024-04-21|2027-04-01,1006.86,103.017,103723.7,103.017,103723.7,BRL,2026-08-21 10:22:43,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,credit_fixed_incomes,VAMOS LOCACAO S.A.,BRDEBSEC03A3|07689002000189|2031-06-15,1008.83,101.57966,102476.61,95.784,96629.96,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,funds,SPX NIMITZ ESTRUTURAL FIC FIM,34177667000185,38.69,2594.103896,100365.88,2594.103896,100360.38,BRL,2026-08-21 10:18:47,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2021-03-31|2024-03-01,990.69,100.656951,99719.83,101.702,100755.15,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2023-11-28|2026-11-01,992.56,100.253,99507.12,100.253,99507.12,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-08-26|2026-08-01,996.89,99.602928,99293.16,84.836,84572.16,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2025-06-27|2028-06-01,996.44,97.933,97584.36,97.933,97584.36,BRL,2026-08-21 10:18:47,[]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2024-09-26|2027-09-01,1002.52,97.066,97310.61,97.066,97310.61,BRL,2026-08-21 09:08:04,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,variable_incomes,ITUB4,ITUB4,24.332,3987.0,97011.59,3867.0,94087.48,BRL,2026-08-21 10:18:47,"[quantity_reported:stale, investment_id:multiple]"
Itau,3343bc26-23e3-5745-9c2a-932d111e9079,funds,SPX NIMITZ ESTRUTURAL FIC FIM,34177667000185,38.64,2500.729899,96628.2,2220.727273,85810.92,BRL,2026-08-21 10:22:43,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2024-07-14|2027-07-01,1009.21,95.357,96235.24,95.357,96235.24,BRL,2026-08-21 10:18:47,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-09-30|2026-09-01,1003.06,95.002181,95292.89,174.989,175524.47,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2021-08-13|2024-08-01,1008.05,94.083,94840.37,94.083,94840.37,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2021-07-22|2024-07-01,998.12,95.012803,94834.18,85.937,85775.44,BRL,2026-08-21 10:18:47,"[holding:matured, quantity_reported:stale]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2019-10-28|2022-10-01,999.5,91.706,91660.15,91.706,91660.15,BRL,2026-08-21 10:18:47,[holding:matured]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2025-11-07|2028-11-01,996.09,91.517,91159.17,91.517,91159.17,BRL,2026-08-21 10:18:47,[]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2025-07-10|2028-07-01,1005.9,87.038,87551.52,87.038,87551.52,BRL,2026-08-21 10:18:47,[movements:incomplete]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2023-09-19|2026-09-01,1006.85,84.23716,84814.18,98.274,98947.18,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2024-07-04|2027-07-01,1000.01,84.104915,84105.76,105.583,105584.06,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2025-03-20|2028-03-01,992.28,84.342218,83691.1,124.124,123165.76,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-12-27|2027-12-01,1004.71,83.222073,83614.05,117.023,117574.18,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2023-11-30|2026-11-01,1009.82,82.404,83213.21,82.404,83213.21,BRL,2026-08-21 09:08:04,[]
C6 Bank,20f0fb4e-fcfa-51c7-8939-0f4ce5ed657f,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2024-04-20|2027-04-01,1002.53,82.532876,82741.68,84.024,84236.58,BRL,2026-08-21 09:08:04,[quantity_reported:stale]
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-06-07|2023-06-01,992.94,82.619,82035.71,82.619,82035.71,BRL,2026-08-21 10:18:47,"[holding:matured, purchase_date:missing]"
Nubank,f3ce7b7a-d660-52cf-b819-c10cb66c1338,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2023-09-20|2026-09-01,1000.31,80.905871,80930.95,112.175,112209.77,BRL,2026-08-21 10:18:47,[quantity_reported:stale]
