institution_name,account_id,product_family,holding_name,holding_key,unit_price,quantity,gross_amount,quantity_reported,gross_amount_reported,currency,valued_at,data_quality_flags
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,variable_incomes,BPAC11,BPAC11,48.6500000000,3467.0000000000,168669.5500000000,1756.0000000000,85435.1900000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,treasure_titles,Tesouro IPCA+ com Juros Semestrais 2032,Tesouro IPCA+ com Juros Semestrais 2032,1500.5200000000,105.7900000000,158740.0108000000,123.3500000000,185088.8300000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2020-01-02|2023-01-01,1009.2700000000,157.0270000000,158482.6402900000,157.0270000000,158482.6400000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2020-06-22|2023-06-01,992.3100000000,152.2476767000,151076.8920661770,145.2630000000,144145.9300000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2023-12-23|2026-12-01,999.5600000000,148.2820000000,148216.7559200000,148.2820000000,148216.7600000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2020-01-22|2023-01-01,999.6000000000,147.0730000000,147014.1708000000,147.0730000000,147014.1700000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,treasure_titles,Tesouro IPCA+ 2035,Tesouro IPCA+ 2035,1236.0500000000,116.8900000000,144481.8845000000,111.6700000000,138029.7000000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2024-07-28|2027-07-01,998.1000000000,140.7883567500,140520.8588721750,113.3050000000,113089.7200000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2022-10-17|2025-10-01,995.8700000000,140.4950776500,139914.8329793055,192.8850000000,192088.3800000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2023-01-13|2026-01-01,993.1500000000,137.4520000000,136510.4538000000,137.4520000000,136510.4500000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,credit_fixed_incomes,VAMOS LOCACAO S.A.,BRDEBSEC03A3|07689002000189|2025-06-15,988.3600000000,138.0945218300,136487.1015958988,96.6310000000,95506.2200000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2026-03-31|2029-03-01,999.0400000000,129.7010000000,129576.4870400000,129.7010000000,129576.4900000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2021-02-12|2024-02-01,996.1700000000,126.0190000000,125536.3472300000,126.0190000000,125536.3500000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,funds,SELECAO DIVIDENDOS FIC FIA,07059417000107,50.0800000000,2500.6336633700,125231.7338615696,2500.6336633700,125238.9100000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2024-09-02|2027-09-01,1002.5700000000,116.9300000000,117230.5101000000,116.9300000000,117230.5100000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2024-12-16|2027-12-01,997.3900000000,115.0596815300,114759.3757612067,190.2410000000,189744.4700000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2021-06-15|2024-06-01,1003.9300000000,113.9510846700,114398.9124327531,99.3750000000,99765.5400000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,variable_incomes,B3SA3,B3SA3,56.2900000000,1898.0000000000,106838.4200000000,3018.0000000000,169894.0800000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2021-12-08|2024-12-01,992.9200000000,104.7120000000,103970.6390400000,104.7120000000,103970.6400000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2021-01-09|2024-01-01,1005.6700000000,99.1730000000,99735.3109100000,99.1730000000,99735.3100000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2021-07-20|2024-07-01,1009.5100000000,88.8120000000,89656.6021200000,88.8120000000,89656.6000000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,credit_fixed_incomes,MRS LOGISTICA S/A,BRDEBSEC05A5|01417222000177|2031-06-15,1009.2200000000,88.3450000000,89159.5409000000,88.3450000000,89159.1900000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-12-04|2025-12-01,1008.8200000000,85.5121193300,86266.3362224906,136.1810000000,137382.1200000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2024-11-23|2027-11-01,1001.3700000000,82.3650000000,82477.8400500000,82.3650000000,82477.8400000000,BRL,2026-08-20 09:03:33,[movements:incomplete]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCI,BRBANKLCI2A2|30306294000145|2022-01-17|2025-01-01,1000.2400000000,75.5160000000,75534.1238400000,75.5160000000,75534.1200000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,variable_incomes,PETR4,PETR4,10.2900000000,6821.0000000000,70188.0900000000,6821.0000000000,70193.5500000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2024-07-30|2027-07-01,993.5800000000,68.7200000000,68278.8176000000,68.7200000000,68278.8200000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-11-04|2026-11-01,993.1700000000,65.7250000000,65276.0982500000,65.7250000000,65276.1000000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2023-02-27|2026-02-01,994.4800000000,59.5293997000,59200.7974136560,84.3950000000,83929.1400000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2019-11-17|2022-11-01,1006.1800000000,52.9570000000,53284.2742600000,52.9570000000,53284.2700000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB0A0|30680829000143|2022-07-16|2025-07-01,996.0500000000,43.0456476900,42875.6173816245,245.4900000000,244520.3100000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,funds,IPCA LONGA DURACAO FIC FIRF,29562673000117,14.3100000000,2453.3103448300,35106.8710345173,2453.3103448300,35099.8800000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2020-10-27|2023-10-01,996.1100000000,33.0146798900,32886.2527852279,128.2830000000,127783.9800000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB5A5|60518222000122|2020-08-05|2023-08-01,1003.1400000000,26.1537519200,26235.8747010288,53.1200000000,53286.8000000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,LCA,BRBANKLCA3A3|60746948000112|2021-12-31|2024-12-01,999.7400000000,16.9060000000,16901.6044400000,16.9060000000,16901.6000000000,BRL,2026-08-20 09:03:33,[]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,RDB,BRBANKRDB1A1|18236120000158|2023-06-25|2026-06-01,998.8300000000,11.7762404400,11762.4622386852,20.3800000000,20356.1600000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,bank_fixed_incomes,CDB,BRBANKCDB4A4|00360305000104|2024-09-08|2027-09-01,994.1900000000,3.4228845200,3402.9975609388,7.3190000000,7276.4800000000,BRL,2026-08-20 09:03:33,[stale:quantity]
C6 Bank,33276234-5740-5b49-b728-093d9b92d4a9,funds,KAPITALO KAPPA FIC FIM,18318213000154,26.8900000000,27.3584905700,735.6698114273,27.3584905700,735.7400000000,BRL,2026-08-20 09:03:33,[]
